,name,quality,base_atk,substat,passive
77,Fading Twilight,,565(44),Energy Recharge 30.6%(6.7%),"Radiance of the DeepsHas three states, Evengleam, Afterglow, and Dawnblaze, which increase DMG dealt by 6%/10%/14%~12%/20%/28% respectively. When attacks hit opponents, this weapon will switch to the next state. This weapon can change states once every 7s. The character equipping this weapon can still trigger the state switch while not on the field."
78,Favonius Codex,,510(42),Energy Recharge 45.9%(10.0%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
79,Favonius Greatsword,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
80,Favonius Lance,,565(44),Energy Recharge 30.6%(6.7%),"WindfallCRIT Hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
81,Favonius Sword,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
82,Favonius Warbow,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
83,Festering Desire,,510(42),Energy Recharge 45.9%(10.0%),Undying AdmirationIncreases Elemental Skill DMG by 16~32% and Elemental Skill CRIT Rate by 6~12%.
84,Finale of the Deep,,565(44),ATK 27.6%(6%),"An End SublimeWhen using an Elemental Skill, ATK will be increased by 12~24% for 15s, and a Bond of Life worth 25% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond of Life is cleared, a maximum of 150~300 ATK will be gained based on 2.4~4.8% of the total amount of the Life Bond cleared, lasting for 15s."
85,Fleuve Cendre Ferryman,,510(42),Energy Recharge 45.9%(10.0%),"IronboneIncreases Elemental Skill CRIT Rate by 8~16%. Additionally, increases Energy Recharge by 16~32% for 5s after using an Elemental Skill."
86,Flowing Purity,,565(44),ATK 27.6%(6%),"Unfinished MasterpieceWhen using an Elemental Skill, All Elemental DMG Bonus will be increased by 8~16% for 15s, and a Bond of Life worth 24% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond Of Life is cleared, every 1,000 HP cleared in the process will provide 2~4% All Elemental DMG Bonus, up to a maximum of 12~24%. This effect lasts 15s."
87,Flute of Ezpitzal,,454(41),DEF 69.0%(15%),Smoke-and-Mirror MysteryUsing an Elemental Skill increases DEF by 16~32% for 15s.
88,Footprint of the Rainbow,,510(42),DEF 51.7%(11.3%),Pact of Flowing SpringsUsing an Elemental Skill increases DEF by 16~32% for 15s.
89,Forest Regalia,,565(44),Energy Recharge 30.6%(6.7%),"Forest SanctuaryAfter triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Consciousness will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 60~120 Elemental Mastery for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The Leaf of Consciousness' effect cannot stack."
90,Frostbearer,,510(42),ATK 41.3%(9%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing 80~140% AoE ATK DMG. Opponents affected by Cryo are dealt 200~360% ATK DMG instead by the icicle. Can only occur once every 10s."
91,Fruit of Fulfillment,,510(42),Energy Recharge 45.9%(10.0%),"Full CircleObtain the ""Wax and Wane"" effect after an Elemental Reaction is triggered, gaining 24~36 Elemental Mastery while losing 5% ATK. For every 0.3s, 1 stack of Wax and Wane can be gained. Max 5 stacks. For every 6s that go by without an Elemental Reaction being triggered, 1 stack will be lost. This effect can be triggered even when the character is off-field."
92,Fruitful Hook,,565(44),ATK 27.6%(6%),"The Weight of Falling BranchesIncrease Plunging Attack CRIT Rate by 16~32%; After a Plunging Attack hits an opponent, Normal, Charged, and Plunging Attack DMG increased by 16~32% for 10s."
93,Hakushin Ring,,565(44),Energy Recharge 30.6%(6.7%),"Sakura SaiguuAfter the character equipped with this weapon triggers an Electro elemental reaction, nearby party members of an Elemental Type involved in the elemental reaction receive a 10~20% Elemental DMG Bonus for their element, lasting 6s. Elemental Bonuses gained in this way cannot be stacked."
94,Hamayumi,,454(41),ATK 55.1%(12%),"Full DrawIncreases Normal Attack DMG by 16~32% and Charged Attack DMG by 12~24%. When the equipping character's Energy reaches 100%, this effect is increased by 100%."
95,Ibis Piercer,,565(44),ATK 27.6%(6%),Secret Wisdom's FavorThe character's Elemental Mastery will increase by 40~80 within 6s after Charged Attacks hit opponents. Max 2 stacks. This effect can triggered once every 0.5s.
96,Iron Sting,,510(42),Elemental Mastery 165(36),Infusion StingerDealing Elemental DMG increases all DMG by 6~12% for 6s. Max 2 stacks. Can only occur once every 1s.
97,Kagotsurube Isshin,,510(42),ATK 41.3%(9%),"Isshin Art ClarityWhen a Normal, Charged, or Plunging Attack hits an opponent, it will whip up a Hewing Gale, dealing AoE DMG equal to 180% of ATK and increasing ATK by 15% for 8s. This effect can be triggered once every 8s."
98,Katsuragikiri Nagamasa,,510(42),Energy Recharge 45.9%(10.0%),"Samurai ConductIncreases Elemental Skill DMG by 6~12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3~5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
99,King's Squire,,454(41),ATK 55.1%(12%),"Labyrinth Lord's InstructionObtain the Teachings of the Forest effect when unleashing Elemental Skills and Elemental Burst, increasing Elemental Mastery by 60~140 for 12s. This effect will be removed when switching characters. When the Teachings of the Forest effect ends or is removed, it will deal 100~180% of ATK as DMG to 1 nearby opponent. The Teachings of the Forest effect can be triggered once every 20s."
100,Kitain Cross Spear,,565(44),Elemental Mastery 110(24),"Samurai ConductIncreases Elemental Skill DMG by 6~12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3~5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field."
101,Lion's Roar,,510(42),ATK 41.3%(9%),Bane of Fire and ThunderIncreases DMG against enemies affected by Pyro or Electro by 20~36%.
102,Lithic Blade,,510(42),ATK 41.3%(9%),"Lithic Axiom: UnityFor every character in the party who hails from Liyue, the character who equips this weapon gains 7~11% ATK increase and 3~7% CRIT Rate increase. This effect stacks up to 4 times."
103,Lithic Spear,,565(44),ATK 27.6%(6%),"Lithic Axiom: UnityFor every character in the party who hails from Liyue, the character who equips this weapon gains 7~11% ATK increase and a 3~7% CRIT Rate increase. This effect stacks up to 4 times."
104,Luxurious Sea-Lord,,454(41),ATK 55.1%(12%),"Oceanic VictoryIncreases Elemental Burst DMG by 12~24%. When Elemental Burst hits opponents, there is a 100% chance of summoning a huge onrush of tuna that deals 100~200% ATK as AoE DMG. This effect can occur once every 15s."
105,Mailed Flower,,565(44),Elemental Mastery 110(24),"Whispers of Wind and FlowerWithin 8s after the character's Elemental Skill hits an opponent or the character triggers an Elemental Reaction, their ATK and Elemental Mastery will be increased by 12~24% and 48~96 respectively."
106,Makhaira Aquamarine,,510(42),Elemental Mastery 165(36),"Desert PavilionThe following effect will trigger every 10s: The equipping character will gain 24~48% of their Elemental Mastery as bonus ATK for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
107,Mappa Mare,,565(44),Elemental Mastery 110(24),Infusion ScrollTriggering an Elemental reaction grants a 8~16% Elemental DMG Bonus for 10s. Max 2 stacks.
108,Missive Windspear,,510(42),ATK 41.3%(9%),"The Wind UnattainedWithin 10s after an Elemental Reaction is triggered, ATK is increased by 12~24% and Elemental Mastery is increased by 48~96."
109,Mitternachts Waltz,,510(42),Physical DMG Bonus 51.7%(11.3%),Evernight DuetNormal Attack hits on opponents increase Elemental Skill DMG by 20~40% for 5s. Elemental Skill hits on opponents increase Normal Attack DMG by 20~40% for 5s.
110,Moonpiercer,,565(44),Elemental Mastery 110(24),"Stillwood MoonshadowAfter triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Revival will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 16~32% ATK for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field."
111,Mountain-Bracing Bolt,,565(44),Energy Recharge 30.6%(6.7%),"Hope Beyond the PeaksDecreases Climbing Stamina Consumption by 15% and increases Elemental Skill DMG by 12~24%. Also, after other nearby party members use Elemental Skills, the equipping character's Elemental Skill DMG will also increase by 12~24% for 8s."
112,Mouun's Moon,,565(44),ATK 27.6%(6%),"Watatsumi WavewalkerFor every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
113,Oathsworn Eye,,565(44),ATK 27.6%(6%),People of the Faltering LightIncreases Energy Recharge by 24~48% for 10s after using an Elemental Skill.
114,Portable Power Saw,,454(41),HP 55.1%(12%),"Sea ShantyWhen the wielder is healed or heals others, they will gain a Stoic's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Roused effect will be granted for 10s. For each Symbol consumed, gain 40~80 Elemental Mastery, and 2s after the effect occurs, 2~4 Energy per Symbol consumed will be restored for said character. The Roused effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
115,Predator,,510(42),ATK 41.3%(9%),"Strong Strike
This weapon's effect is only applied on the following platform(s):
""PlayStation Network""
Dealing Cryo DMG to opponents increases this character's Normal and Charged Attack DMG by 10% for 6s. This effect can have a maximum of 2 stacks.Additionally, when Aloy equips Predator, ATK is increased by 66."
116,Prospector's Drill,,565(44),ATK 27.6%(6%),"Masons' DittyWhen the wielder is healed or heals others, they will gain a Unity's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Struggle effect will be granted for 10s. For each Symbol consumed, gain 3~7% ATK and 7~13% All Elemental DMG Bonus. The Struggle effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
117,Prototype Amber,,510(42),HP 41.3%(9%),GildingUsing an Elemental Burst regenerates 4~6 Energy every 2s for 6s. All party members will regenerate 4~6% HP every 2s for this duration.
118,Prototype Archaic,,565(44),ATK 27.6%(6%),"CrushOn hit, Normal or Charged Attacks have a 50% chance to deal an additional 240~480% ATK DMG to opponents within a small AoE. Can only occur once every 15s."
119,Prototype Crescent,,510(42),ATK 41.3%(9%),UnreturningCharged Attack hits on weak points increase Movement SPD by 10% and ATK by 36~72% for 10s.
120,Prototype Rancour,,565(44),Physical DMG Bonus 34.5%(7.5%),"Smashed StoneOn hit, Normal or Charged Attacks increase ATK and DEF by 4~8% for 6s. Max 4 stacks. This effect can only occur once every 0.3s."
121,Prototype Starglitter,,510(42),Energy Recharge 45.9%(10.0%),"Magic AffinityAfter using an Elemental Skill, increases Normal and Charged Attack DMG by 8~16% for 12s. Max 2 stacks."
122,Rainslasher,,510(42),Elemental Mastery 165(36),Bane of Storm and TideIncreases DMG against opponents affected by Hydro or Electro by 20~36%.
123,Range Gauge,,565(44),ATK 27.6%(6%),"Masons' DittyWhen the wielder is healed or heals others, they will gain a Unity's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Struggle effect will be granted for 10s. For each Symbol consumed, gain 3~7% ATK and 7~13% All Elemental DMG Bonus. The Struggle effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
124,Rightful Reward,,565(44),HP 27.6%(6%),"Tip of the SpearWhen the wielder is healed, restore 8~16 Energy. This effect can triggered once every 10s, and can occur even when the character is not on the field."
125,Ring of Yaxche,,510(42),HP 41.3%(9%),"Echoes of the Plentiful LandUsing an Elemental Skill grants the Jade-Forged Crown effect: Every 1,000 Max HP will increase the Normal Attack DMG dealt by the equipping character by 0.6~1% for 10s. Normal Attack DMG can be increased this way by a maximum of 16~32%."
126,Royal Bow,,510(42),ATK 41.3%(9%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
127,Royal Greatsword,,565(44),ATK 27.6%(6%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
128,Royal Grimoire,,565(44),ATK 27.6%(6%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
129,Royal Longsword,,510(42),ATK 41.3%(9%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
130,Royal Spear,,565(44),ATK 27.6%(6%),"FocusUpon dealing damage to an opponent, increases CRIT Rate by 8~16%. Max 5 stacks. A CRIT hit removes all existing stacks."
131,Rust,,510(42),ATK 41.3%(9%),Rapid FiringIncreases Normal Attack DMG by 40~80% but decreases Charged Attack DMG by 10%.
132,Sacrificial Bow,,565(44),Energy Recharge 30.6%(6.7%),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
133,Sacrificial Fragments,,454(41),Elemental Mastery 221(48),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
134,Sacrificial Greatsword,,565(44),Energy Recharge 30.6%(6.7%),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
135,Sacrificial Jade,,454(41),CRIT Rate 36.8%(8%),"Jade CirculationWhen not on the field for more than 5s, Max HP will be increased by 32~64% and Elemental Mastery will be increased by 40~80. These effects will be canceled after the wielder has been on the field for 10s."
136,Sacrificial Sword,,454(41),Energy Recharge 61.3%(13.3%),"ComposedAfter dealing damage to an opponent with an Elemental Skill, the skill has a 40~80% chance to end its own CD. Can only occur once every 30~16s."
137,Sapwood Blade,,565(44),Energy Recharge 30.6%(6.7%),"Forest SanctuaryAfter triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Consciousness will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 60~120 Elemental Mastery for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The Leaf of Consciousness' effect cannot stack."
138,Scion of the Blazing Sun,,565(44),CRIT Rate 18.4%(4%),"The Way of SunfireAfter a Charged Attack hits an opponent, a Sunfire Arrow will descend upon the opponent hit, dealing 60~120% ATK as DMG, and applying the Heartsearer effect to the opponent damaged by said Arrow for 10s. Opponents affected by Heartsearer take 28~56% more Charged Attack DMG from the wielder. A Sunfire Arrow can be triggered once every 10s."
139,Serpent Spine,,510(42),CRIT Rate 27.6%(6%),"WavesplitterEvery 4s a character is on the field, they will deal 6~10% more DMG and take 3~2%  more DMG. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG."
140,Snow-Tombed Starsilver,,565(44),Physical DMG Bonus 34.5%(7.5%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 80~140% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 200~360% of ATK. Can only occur once every 10s."
141,Solar Pearl,,510(42),CRIT Rate 27.6%(6%),"Solar ShineNormal Attack hits increase Elemental Skill and Elemental Burst DMG by 20~40% for 6s. Likewise, Elemental Skill or Elemental Burst hits increase Normal Attack DMG by 20~40% for 6s."
142,Song of Stillness,,510(42),ATK 41.3%(9%),"Benthic PulseAfter the wielder is healed, they will deal 16~32% more DMG for 8s. This can be triggered even when the character is not on the field."
143,Sturdy Bone,,565(44),ATK 27.6%(6%),"Trapper's PrideSprint or Alternate Sprint Stamina Consumption decreased by 15%. Additionally, after using Sprint or Alternate Sprint, Normal Attack DMG is increased by 16~32% of ATK. This effect expires after triggering 18 times or 7s."
144,Sword of Descension,,440(39),ATK 35.2%(7.7%),"DescensionEffective only on the following platform:""PlayStation Network""Hitting enemies with Normal or Charged Attacks grants a 50% chance to deal 200% ATK as DMG in a small AoE. This effect can only occur once every 10s.Additionally, if the Traveler equips the Sword of Descension, their ATK is increased by 66."
145,Sword of Narzissenkreuz,,510(42),ATK 41.3%(9%),"Hero's BladeWhen the equipping character does not have an Arkhe: When Normal Attacks, Charged Attacks, or Plunging Attacks strike, a Pneuma or Ousia energy blast will be unleashed, dealing 160~320% of ATK as DMG. This effect can be triggered once every 12s. The energy blast type is determined by the current type of the Sword of Narzissenkreuz."
146,Talking Stick,,565(44),CRIT Rate 18.4%(4%),"""The Silver Tongue""ATK will be increased by  16~32% for 15s after being affected by Pyro. This effect can be triggered once every 12s. All Elemental DMG Bonus will be increased by 12~24% for 15s after being affected by Hydro, Cryo, Electro, or Dendro. This effect can be triggered once every 12s."
147,The Alley Flash,,620(45),Elemental Mastery 55(12),Itinerant HeroIncreases DMG dealt by the character equipping this weapon by 12~24%. Taking DMG disables this effect for 5s.
148,The Bell,,510(42),HP 41.3%(9%),"Rebellious GuardianTaking DMG generates a shield which absorbs DMG up to 20~32% of max HP. This shield lasts for 10s or until broken, and can only be triggered once every 45s. While protected by a shield, the character gains 12~24% increased DMG."
149,The Black Sword,,510(42),CRIT Rate 27.6%(6%),"JusticeIncreases DMG dealt by Normal and Charged Attacks by 20~40%.Additionally, regenerates 60~100% of ATK as HP when Normal and Charged Attacks score a CRIT Hit. This effect can occur once every 5s."
150,The Dockhand's Assistant,,510(42),HP 41.3%(9%),"Sea ShantyWhen the wielder is healed or heals others, they will gain a Stoic's Symbol that lasts 30s, up to a maximum of 3 Symbols. When using their Elemental Skill or Burst, all Symbols will be consumed and the Roused effect will be granted for 10s. For each Symbol consumed, gain 40~80 Elemental Mastery, and 2s after the effect occurs, 2~4 Energy per Symbol consumed will be restored for said character. The Roused effect can be triggered once every 15s, and Symbols can be gained even when the character is not on the field."
151,The Flute,,510(42),ATK 41.3%(9%),"ChordNormal or Charged Attacks grant a Harmonic on hits. Gaining 5 Harmonics triggers the power of music and deals 100~200% ATK DMG to surrounding enemies. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s."
152,The Stringless,,510(42),Elemental Mastery 165(36),Arrowless SongIncreases Elemental Skill and Elemental Burst DMG by 24~48%.
153,The Viridescent Hunt,,510(42),CRIT Rate 27.6%(6%),"Verdant WindUpon hit, Normal and Aimed Shot Attacks have a 50% chance to generate a Cyclone, which will continuously attract surrounding opponents, dealing 40~80% of ATK as DMG to these opponents every 0.5s for 4s. This effect can only occur once every 14~10s."
154,The Widsith,,510(42),CRIT DMG 55.1%(12%),"DebutWhen a character takes the field, they will gain a random theme song for 10s. This can only occur once every 30s.Recitative: ATK is increased by 60~120%.Aria: Increases all Elemental DMG by 48~96%.Interlude: Elemental Mastery is increased by 240~480."
155,Tidal Shadow,,510(42),ATK 41.3%(9%),"White Cruising WaveAfter the wielder is healed, ATK will be increased by 24~48% for 8s. This can be triggered even when the character is not on the field."
156,Toukabou Shigure,,510(42),Elemental Mastery 165(36),"Kaidan: Rainfall EarthbinderAfter an attack hits opponents, it will inflict an instance of Cursed Parasol upon one of them for 10s. This effect can be triggered once every 15s. If this opponent is defeated during Cursed Parasol's duration, Cursed Parasol's CD will be refreshed immediately. The character wielding this weapon will deal 16~32% more DMG to the opponent affected by Cursed Parasol."
157,Wandering Evenstar,,510(42),Elemental Mastery 165(36),"Wildling NightstarThe following effect will trigger every 10s: The equipping character will gain 24~48% of their Elemental Mastery as bonus ATK for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
158,Wavebreaker's Fin,,620(45),ATK 13.8%(3%),"Watatsumi WavewalkerFor every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
159,Whiteblind,,510(42),DEF 51.7%(11.3%),"Infusion BladeOn hit, Normal or Charged Attacks increase ATK and DEF by 6~12% for 6s. Max 4 stacks (24~48%  total). Can only occur once every 0.5s."
160,Windblume Ode,,510(42),Elemental Mastery 165(36),"Windblume WishAfter using an Elemental Skill, receive a boon from the ancient wish of the Windblume, increasing ATK by 16~32% for 6s."
161,Wine and Song,,565(44),Energy Recharge 30.6%(6.7%),"Ever-ChangingHitting an opponent with a Normal Attack decreases the Stamina consumption of Sprint or Alternate Sprint by 14~22% for 5s. Additionally, using a Sprint or Alternate Sprint ability increases ATK by 20~40% for 5s."
162,Wolf-Fang,,510(42),CRIT Rate 27.6%(6%),"Northwind WolfDMG dealt by Elemental Skill and Elemental Burst is increased by 16~32%. When an Elemental Skill hits an opponent, its CRIT Rate will be increased by 2~4%. When an Elemental Burst hits an opponent, its CRIT Rate will be increased by 2~4%. Both of these effects last 10s separately, have 4 max stacks, and can be triggered once every 0.1s."
163,Xiphos' Moonlight,,510(42),Elemental Mastery 165(36),"Jinni's WhisperThe following effect will trigger every 10s: The equipping character will gain 0.036~0.072% Energy Recharge for each point of Elemental Mastery they possess for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field."
164,Black Tassel,,354(38),HP 46.9%(10.2%),Bane of the SoftIncreases DMG against slimes by 40~80%.
165,Bloodtainted Greatsword,,354(38),Elemental Mastery 187(41),Bane of Fire and ThunderIncreases DMG against opponents affected by Pyro or Electro by 12~24%.
166,Cool Steel,,401(39),ATK 35.2%(7.7%),Bane of Water and IceIncreases DMG against opponents affected by Hydro or Cryo by 12~24%.
167,Dark Iron Sword,,401(39),Elemental Mastery 141(31),"OverloadedUpon causing an Overloaded, Superconduct, Electro-Charged, Quicken, Aggravate, Hyperbloom, or Electro-infused Swirl reaction, ATK is increased by 20~40% for 12s."
168,Debate Club,,401(39),ATK 35.2%(7.7%),"Blunt ConclusionAfter using an Elemental Skill, Normal or Charged Attacks, on hit, deal an additional 60~120% ATK DMG in a small area. Effect lasts 15s. DMG can only occur once every 3s."
169,Emerald Orb,,448(40),Elemental Mastery 94(20),"RapidsUpon causing a Vaporize, Electro-Charged, Frozen, Bloom, or a Hydro-infused Swirl reaction, increases ATK by 20~40% for 12s."
170,Ferrous Shadow,,401(39),HP 35.2%(7.7%),"UnbendingWhen HP falls below 70~90%, increases Charged Attack DMG by 30~50%, and Charged Attacks become much harder to interrupt."
171,Fillet Blade,,401(39),ATK 35.2%(7.7%),"GashOn hit, has 50% chance to deal 240~400% ATK DMG to a single enemy. Can only occur once every 15~11s."
172,Halberd,,448(40),ATK 23.4%(5.1%),HeavyNormal Attacks deal an additional 160~320% DMG. Can only occur once every 10s.
173,Harbinger of Dawn,,401(39),CRIT DMG 46.9%(10.2%),"VigorousWhen HP is above 90%, increases CRIT Rate by 14~28%."
174,Magic Guide,,354(38),Elemental Mastery 187(41),Bane of Storm and TideIncreases DMG against opponents affected by Hydro or Electro by 12~24%.
175,Messenger,,448(40),CRIT DMG 31.2%(6.8%),Archer's MessageCharged Attack hits on weak spots deal an additional 100~200% ATK DMG as CRIT DMG. Can only occur once every 10s.
176,Otherworldly Story,,401(39),Energy Recharge 39.0%(8.5%),Energy ShowerEach Elemental Orb or Particle collected restores 1~2% HP.
177,Raven Bow,,448(40),Elemental Mastery 94(20),Bane of Flame and WaterIncreases DMG against opponents affected by Hydro or Pyro by 12~24%.
178,Recurve Bow,,354(38),HP 46.9%(10.2%),Cull the WeakDefeating an opponent restores 8~16% HP.
179,Sharpshooter's Oath,,401(39),CRIT DMG 46.9%(10.2%),PreciseIncreases DMG against weak spots by 24~48%.
180,Skyrider Greatsword,,401(39),Physical DMG Bonus 43.9%(9.6%),"CourageOn hit, Normal or Charged Attacks increase ATK by 6~10% for 6s. Max 4 stacks. Can only occur once every 0.5s."
181,Skyrider Sword,,354(38),Energy Recharge 51.7%(11.3%),DeterminationUsing an Elemental Burst grants a 12~24% increase in ATK and Movement SPD for 15s.
182,Slingshot,,354(38),CRIT Rate 31.2%(6.8%),"SlingshotIf a Normal or Charged Attack hits a target within 0.3s of being fired, increases DMG by 36~60%. Otherwise, decreases DMG by 10%."
183,Thrilling Tales of Dragon Slayers,,401(39),HP 35.2%(7.7%),"HeritageWhen switching characters, the new character taking the field has their ATK increased by 24~48% for 10s. This effect can only occur once every 20s."
184,Traveler's Handy Sword,,448(40),DEF 29.3%(6.4%),JourneyEach Elemental Orb or Particle collected restores 1~2% HP.
185,Twin Nephrite,,448(40),CRIT Rate 15.6%(3.4%),Guerilla TacticsDefeating an opponent increases Movement SPD and ATK by 12~20% for 15s.
186,White Iron Greatsword,,401(39),DEF 43.9%(9.6%),Cull the WeakDefeating an opponent restores 8~16% HP.
187,White Tassel,,401(39),CRIT Rate 23.4%(5.1%),SharpIncreases Normal Attack DMG by 24~48%.
188,Iron Point,,243(33),None,None
189,Old Merc's Pal,,243(33),None,None
190,Pocket Grimoire,,243(33),None,None
191,Seasoned Hunter's Bow,,243(33),None,None
192,Silver Sword,,243(33),None,None
193,Apprentice's Notes,,185(23),None,None
194,Beginner's Protector,,185(23),None,None
195,Dull Blade,,185(23),None,None
196,Hunter's Bow,,185(23),None,None
197,Waster Greatsword,,185(23),None,None
